Fórmula,Disponibilidad,Orden,Nombre,Descripción,Imagen,Precio,Etapa,Categoría,Tamaño,Ancho,Largo,Alto,Diametro,Motores,Operación y Requerimientos,Imagen_1,Imagen_2,Imagen_3,Imagen_4,Imagen_5,Sucursal,Participantes,Rango_edad,Operador,Motores_sopladores,mostrar en sitio,Inventario,BambinosID,ID de Sucursal,ID de Categoría,Número de Juego,Fecha Lanzamiento,Duracion,Popular
Cabina de BateoGuadalajara,in stock,1,Cabina de Bateo,NUEVO. Lleva la diversión de una tarde de Baseball directo hasta tu fiesta. Puedes dar tus mejores home runs sin salir de la fiesta.,https://i.imgur.com/mwaRXz4.png,"$5,900","Niños, Adolescentes, Adultos",Mecánicos,Grande,5,14,4,0,"Impulsado por 1 motor + 1 máquina de disparo de pelotas de Soft-Ball",Controlado por 2 operadores,https://i.imgur.com/tMfVFke.png,https://i.imgur.com/Ipzevln.png,https://i.imgur.com/k98BDkf.png,https://i.imgur.com/tMfVFke.png,https://i.imgur.com/Ipzevln.png,Guadalajara,Con capacidad de 1 participante a la vez,mayores de 5 años.,Si,3,Si,1,1015551197,101,555,1197,2/2/2026,Precio de renta por 3 horas de servicio. Operación entre 9am y 9pm.,FALSE
SpiroGuadalajara,in stock,2,Spiro,El Spinner evolucionó para que el juego sea aún más desafiante. Cruza el laberinto en espiral mientras esquivas los obstáculos giratorios.,https://i.imgur.com/RTYI9jh.png,"$4,320",Adultos,Mecánicos,Grande,0,0,2.5,10,Impulsado por 2 motores sopladores más un control para manejo del juego.,Controlado por un operador.,https://i.imgur.com/5KZjjF7.png,https://i.imgur.com/cqxrKPO.png,https://i.imgur.com/5KZjjF7.png,https://i.imgur.com/cqxrKPO.png,https://i.imgur.com/5KZjjF7.png,Guadalajara,Apto para 2 participantes a la vez ,Mayores de 8 años.,Si,3,Si,1,1015551194,101,555,1194,4/4/2025,Precio por 4 horas de servicio con operación entre 9am y 9pm.,FALSE
Dino Rex MecánicoGuadalajara,in stock,3,Dino Rex Mecánico,Olvídate del Salvaje Oeste y mejor diviértanse en el Salvaje Jurásico. Doma al Velocirraptor dentro de la Jaua del Dino Rex. ¿Podrás lograrlo?,https://i.imgur.com/nKE4aea.png,"$3,980",Niños,Mecánicos,Mediano,4.4,4,5.2,0,impulsado por un motor soplador y control de uso rudo,manipulado por un operador.,https://i.imgur.com/jaNvtyD.png,https://i.imgur.com/AMm7IMg.png,https://i.imgur.com/jD79HyG.png,https://i.imgur.com/2L95XLq.png,https://i.imgur.com/AMm7IMg.png,Guadalajara,Con capacidad de 1 (un) participante de hasta 120kg,mayores de 5 años.,Si,2,Si,1,1015551189,101,555,1189,1/10/2024,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Bungee JumpGuadalajara,in stock,4,Bungee Jump,La adrenalina hasta el cielo con total seguridad. Arnéses profesionales de uso para escalado para mayor seguridad.,https://i.imgur.com/ZoHubzt.png,"$4,200","Niños, Adolescentes, Adultos",Mecánicos,Grande,6,6,6,0,accionado con 1 motor,Controlado por un operador.,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,https://i.imgur.com/54E0TrG.png,Guadalajara,Con capacidad de 1 participante de 90kg,mayor de 4 años.,Si,1,Si,4,1015551099,101,555,1099,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
SpinnerGuadalajara,in stock,5,Spinner,-,https://i.imgur.com/cNY6BMH.png,"$3,700","Niños, Adolescentes, Adultos",Mecánicos,Grande,0,0,1.2,8,impulsado por 2 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/D8hdHxs.png,https://i.imgur.com/6hNaXeg.png,https://i.imgur.com/D8hdHxs.png,Guadalajara,Con capacidad de 6 participantes,mayores de 5 años.,Si,1,Si,5,1015551151,101,555,1151,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Bull KingGuadalajara,in stock,6,Bull King,-,https://i.imgur.com/fVIlaZ4.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4,4,3,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/r0zjUjT.png,https://i.imgur.com/LW054LV.png,https://i.imgur.com/ekmI7yJ.png,https://i.imgur.com/ekmI7yJ.png,https://i.imgur.com/hSW98Dm.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,3,1015551098,101,555,1098,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Chile MecánicoGuadalajara,in stock,7,Chile Mecánico,-,https://i.imgur.com/tRPicXL.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,https://i.imgur.com/eGQA4NQ.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1015551100,101,555,1100,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,TRUE
Toro SevillanoGuadalajara,in stock,8,Toro Sevillano,NUEVO. Vive la experiencia de un verdadero rodeo Español montando un toro sevillano. Diversión y tradición segura.,https://i.imgur.com/NvRy14k.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Grande,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/bHZwl33.png,https://i.imgur.com/BreqWPy.png,https://i.imgur.com/bHZwl33.png,https://i.imgur.com/BreqWPy.png,https://i.imgur.com/bHZwl33.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,1,1015551196,101,555,1196,20/1/2026,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Toro JaripeoGuadalajara,in stock,9,Toro Jaripeo,El Toro de siempre... La diversión como nunca. El complemento ideal para tu fiesta donde se pueden subir chicos y grandes.,https://i.imgur.com/iXD1T8e.png,"$3,480","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4.5,4.4,2.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/d9XOCZG.png,https://i.imgur.com/GkShmjp.png,https://i.imgur.com/vHH0JH6.png,https://i.imgur.com/0EK8j4e.png,https://i.imgur.com/vHH0JH6.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,1,Si,2,1015551102,101,555,1102,29/10/2020,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
Tabla de SurfGuadalajara,in stock,10,Tabla de Surf,"Para los más aventureros, si no puedes ir al mar, trae el mar a la fiesta. Ideal para decoraciones de fiestas Hawaiianas o de playa.",https://i.imgur.com/jYrMni9.png,"$3,700","Niños, Adolescentes, Adultos",Mecánicos,Mediano,4,3.9,3.5,0,impulsado por 1 motores y 1 control de uso rudo,Controlado por un operador.,https://i.imgur.com/io74V18.png,https://i.imgur.com/oesTZaq.png,https://i.imgur.com/NTvpaZH.png,https://i.imgur.com/Cy3CGE6.png,https://i.imgur.com/oHSo0MM.png,Guadalajara,Con capacidad de 1 participante de 120kg,mayores de 5 años.,Si,2,Si,1,1015551145,101,555,1145,4/6/2021,Precio de renta por 4 horas de servicio. Operación entre 9am y 9pm.,FALSE
